"[1.4152114222932355, 1.0, 0.0, 0.5]","[1.4149892000710134, 1.0, 0.0, 0.5]","[1.4147669778487912, 1.0, 0.0, 0.5]","[1.4145447556265691, 1.0, 0.0, 0.5]","[1.414322533404347, 1.0, 0.0, 0.5]","[1.4141003111821249, 0.0632096896290689, 0.9749498997995992, 0.4809202052856659]","[1.4138780889599027, 0.0, 0.9909819639278558, 0.5045090180360721]","[1.4136558667376806, 0.0, 1.0, 0.5]","[1.4134336445154585, 0.0, 1.0, 0.5]","[1.4129892000710143, 0.0, 1.0, 0.5]"
"[1.4152126842803094, 1.0, 0.0, 0.5]","[1.4149904620580873, 1.0, 0.0, 0.5]","[1.4147682398358652, 1.0, 0.0, 0.5]","[1.414546017613643, 1.0, 0.0, 0.5]","[1.414323795391421, 1.0, 0.0, 0.5]","[1.4141015731691988, 0.038651004168245545, 0.981018981018981, 0.4901650074063867]","[1.4138793509469767, 0.0, 0.993006993006993, 0.5034965034965035]","[1.4136571287247546, 0.0, 1.0, 0.5]","[1.4134349065025325, 0.0, 1.0, 0.5]","[1.4129904620580882, 0.0, 1.0, 0.5]"
"[1.4142131706741965, 1.0, 0.0, 0.5]","[1.4141020595630853, 0.03794139744552968, 0.9785276073619632, 0.49176549759625354]","[1.4139909484519742, 0.002253944402704733, 0.9887525562372188, 0.5044967496800382]","[1.413879837340863, 0.0, 0.9887525562372188, 0.5056237218813906]","[1.4137687262297518, 0.0, 0.9887525562372188, 0.5056237218813906]","[1.4136576151186406, 0.0, 1.0, 0.5]","[1.4135465040075295, 0.0, 1.0, 0.5]","[1.4134353928964183, 0.0, 1.0, 0.5]","[1.4133242817853071, 0.0, 1.0, 0.5]","[1.4131020595630848, 0.0, 1.0, 0.5]"
"[1.4152119799249363, 1.0, 0.0, 0.5]","[1.4149897577027142, 1.0, 0.0, 0.5]","[1.414767535480492, 1.0, 0.0, 0.5]","[1.41454531325827, 1.0, 0.0, 0.5]","[1.4143230910360478, 1.0, 0.0, 0.5]","[1.4141008688138257, 0.08669201520912548, 0.9772277227722772, 0.46804013100929864]","[1.4138786465916036, 0.00038022813688212925, 0.9891089108910891, 0.5052554304860144]","[1.4136564243693814, 0.0, 0.9891089108910891, 0.5054455445544555]","[1.4134342021471593, 0.0, 1.0, 0.5]","[1.412989757702715, 0.0, 1.0, 0.5]"
"[1.4142131706741965, 1.0, 0.0, 0.5]","[1.4141020595630853, 0.04303510758776897, 0.9808274470232089, 0.48806872269451107]","[1.4139909484519742, 0.003020007550018875, 0.992936427850656, 0.5020217822996627]","[1.413879837340863, 0.00037750094375235937, 0.9939455095862765, 0.5028384947349855]","[1.4137687262297518, 0.00037750094375235937, 0.9939455095862765, 0.5028384947349855]","[1.4136576151186406, 0.00037750094375235937, 1.0, 0.49981124952812384]","[1.4135465040075295, 0.00037750094375235937, 1.0, 0.49981124952812384]","[1.4134353928964183, 0.0, 1.0, 0.5]","[1.4133242817853071, 0.0, 1.0, 0.5]","[1.4131020595630848, 0.0, 1.0, 0.5]"
"[1.4152123051752858, 1.0, 0.0, 0.5]","[1.4149900829530637, 1.0, 0.0, 0.5]","[1.4147678607308416, 1.0, 0.0, 0.5]","[1.4145456385086195, 1.0, 0.0, 0.5]","[1.4143234162863974, 1.0, 0.0, 0.5]","[1.4141011940641752, 0.054861899356791526, 0.9769307923771314, 0.4841036541330386]","[1.413878971841953, 0.0, 0.9939819458375125, 0.5030090270812437]","[1.413656749619731, 0.0, 1.0, 0.5]","[1.4134345273975089, 0.0, 1.0, 0.5]","[1.4129900829530646, 0.0, 1.0, 0.5]"
"[1.4152119578496563, 1.0, 0.0, 0.5]","[1.4149897356274341, 1.0, 0.0, 0.5]","[1.414767513405212, 1.0, 0.0, 0.5]","[1.4145452911829899, 1.0, 0.0, 0.5]","[1.4143230689607678, 1.0, 0.0, 0.5]","[1.4141008467385456, 0.09552691432903715, 0.9710578842315369, 0.46670760071971296]","[1.4138786245163235, 0.0, 0.9920159680638723, 0.5039920159680639]","[1.4136564022941014, 0.0, 1.0, 0.5]","[1.4134341800718793, 0.0, 1.0, 0.5]","[1.412989735627435, 0.0, 1.0, 0.5]"
"[1.4152123051752858, 1.0, 0.0, 0.5]","[1.4149900829530637, 1.0, 0.0, 0.5]","[1.4147678607308416, 1.0, 0.0, 0.5]","[1.4145456385086195, 1.0, 0.0, 0.5]","[1.4143234162863974, 1.0, 0.0, 0.5]","[1.4141011940641752, 0.04792212654436541, 0.9762641898864809, 0.4879068417845769]","[1.413878971841953, 0.00037439161362785476, 0.9948400412796697, 0.5023927835533513]","[1.413656749619731, 0.0, 1.0, 0.5]","[1.4134345273975089, 0.0, 1.0, 0.5]","[1.4129900829530646, 0.0, 1.0, 0.5]"
"[1.415211189997066, 1.0, 0.0, 0.5]","[1.414988967774844, 1.0, 0.0, 0.5]","[1.4147667455526218, 1.0, 0.0, 0.5]","[1.4145445233303997, 1.0, 0.0, 0.5]","[1.4143223011081776, 1.0, 0.0, 0.5]","[1.4141000788859555, 0.07281738467403737, 0.9803343166175025, 0.47342414935423005]","[1.4138778566637333, 0.0, 0.9941002949852508, 0.5029498525073746]","[1.4136556344415112, 0.0, 0.9941002949852508, 0.5029498525073746]","[1.413433412219289, 0.0, 1.0, 0.5]","[1.4129889677748448, 0.0, 1.0, 0.5]"
"[1.4152119799249363, 1.0, 0.0, 0.5]","[1.4149897577027142, 1.0, 0.0, 0.5]","[1.414767535480492, 1.0, 0.0, 0.5]","[1.41454531325827, 1.0, 0.0, 0.5]","[1.4143230910360478, 1.0, 0.0, 0.5]","[1.4141008688138257, 0.07739229889439574, 0.976401179941003, 0.4731032605823007]","[1.4138786465916036, 0.0, 0.9950835791543756, 0.5024582104228121]","[1.4136564243693814, 0.0, 1.0, 0.5]","[1.4134342021471593, 0.0, 1.0, 0.5]","[1.412989757702715, 0.0, 1.0, 0.5]"
